epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.953,1.3565,1.55497,1.44489,0.65337,0.5305,0.58615,0.34145,1.70055,1.5193,1.52344,0.0670528,0.0003328,0.0003328
2,202.837,1.30115,1.39107,1.42314,0.67873,0.51468,0.59565,0.37386,1.42522,1.51266,1.3442,0.0340462,0.000659539,0.000659539
3,302.041,1.2735,1.34212,1.41157,0.73029,0.58226,0.65593,0.40169,1.50143,1.29104,1.36968,0.00103301,0.000979677,0.000979677
4,397.671,1.23393,1.29025,1.38519,0.75854,0.59114,0.6826,0.44608,1.3162,1.1796,1.24771,0.0009703,0.0009703,0.0009703
5,490.542,1.20247,1.2642,1.37193,0.75258,0.5926,0.6859,0.45645,1.26087,1.12429,1.22255,0.0009604,0.0009604,0.0009604
6,580.956,1.18118,1.2303,1.35909,0.74213,0.58854,0.69359,0.46717,1.22544,1.13818,1.202,0.0009505,0.0009505,0.0009505
7,672.014,1.16296,1.2112,1.34824,0.77821,0.59335,0.69803,0.47323,1.1963,1.17138,1.20364,0.0009406,0.0009406,0.0009406
8,758.342,1.14973,1.18242,1.34189,0.76287,0.62082,0.71991,0.50316,1.14969,1.02221,1.15462,0.0009307,0.0009307,0.0009307
9,847.343,1.13085,1.16508,1.33007,0.78642,0.61959,0.72773,0.51101,1.12655,1.00221,1.14836,0.0009208,0.0009208,0.0009208
10,937.299,1.12116,1.14978,1.32506,0.77456,0.6465,0.73591,0.52031,1.12487,1.03766,1.13454,0.0009109,0.0009109,0.0009109
11,1021.53,1.11866,1.14863,1.3248,0.74872,0.65432,0.72562,0.5117,1.137,1.03132,1.14117,0.000901,0.000901,0.000901
12,1100.91,1.09876,1.12718,1.31494,0.78847,0.6159,0.73269,0.51331,1.11953,1.03942,1.1559,0.0008911,0.0008911,0.0008911
13,1177.44,1.09044,1.10816,1.31047,0.75441,0.65323,0.74333,0.52643,1.10876,0.96989,1.1395,0.0008812,0.0008812,0.0008812
14,1260.63,1.08294,1.10071,1.30551,0.77113,0.63586,0.73383,0.51242,1.13929,0.97805,1.1552,0.0008713,0.0008713,0.0008713
15,1347.78,1.07253,1.09155,1.29854,0.7793,0.66654,0.75756,0.54386,1.04982,0.92628,1.10836,0.0008614,0.0008614,0.0008614
16,1432.11,1.06642,1.07636,1.29487,0.7945,0.63364,0.74883,0.53534,1.05271,0.94491,1.1154,0.0008515,0.0008515,0.0008515
17,1519.81,1.05591,1.06499,1.28783,0.76517,0.66987,0.76165,0.54601,1.08425,0.91945,1.10812,0.0008416,0.0008416,0.0008416
18,1605.6,1.05468,1.06522,1.28554,0.80579,0.65656,0.75888,0.5417,1.05642,0.91348,1.10155,0.0008317,0.0008317,0.0008317
19,1692.98,1.04474,1.05355,1.28565,0.80431,0.66322,0.7679,0.54882,1.07732,0.91197,1.11226,0.0008218,0.0008218,0.0008218
20,1783.26,1.04187,1.042,1.27871,0.79812,0.68835,0.78192,0.56585,1.04933,0.89325,1.10354,0.0008119,0.0008119,0.0008119
21,1874.46,1.03953,1.03743,1.281,0.79651,0.68429,0.78122,0.56369,1.07292,0.89549,1.10723,0.000802,0.000802,0.000802
22,1965.14,1.02599,1.01981,1.27067,0.83257,0.67834,0.78109,0.55571,1.06727,0.89813,1.09752,0.0007921,0.0007921,0.0007921
23,2054.48,1.02746,1.01832,1.27371,0.81538,0.67431,0.77675,0.56416,1.052,0.88383,1.09431,0.0007822,0.0007822,0.0007822
24,2142.21,1.01754,1.01157,1.26701,0.79669,0.66433,0.77442,0.55901,1.04004,0.90381,1.10129,0.0007723,0.0007723,0.0007723
25,2230.66,1.02711,1.00556,1.27266,0.79036,0.68946,0.78276,0.57077,1.03035,0.86992,1.08136,0.0007624,0.0007624,0.0007624
26,2319.27,1.0152,1.00601,1.26791,0.82011,0.68761,0.78992,0.57274,1.02642,0.87592,1.07905,0.0007525,0.0007525,0.0007525
27,2414.18,1.01437,1.00791,1.26866,0.78784,0.71386,0.79424,0.58415,1.00134,0.84276,1.06775,0.0007426,0.0007426,0.0007426
